pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,batter_name,pitcher_name
CH,2024-09-28,87.1,-2.12,5.78,"Dubin, Shawn",677587,681869,strikeout,called_strike,,,,,8,Brayan Rocchio called out on strikes.,R,L,R,CLE,HOU,S,2,,2,2,2024,-1.25,-0.11,0.0255705765244704,1.6304590350673096,,,,2,9,Bot,,,,,,,7.737560717580514,-126.59057273756864,-3.579822731905171,-14.996882015301653,25.263842588557026,-32.787633087787974,3.09,1.29,,,,87.5,1504,6.6,746578,605170,572138,643289,666197,665161,518792,676694,663656,53.92,,0.0,0.0,1,0,0,,78,5,Changeup,3,4,3,4,4,3,3,4,Standard,Standard,242,-0.047,-0.219,,,,0.219,,-1,-1,0.047,0.047,28,23,29,23,1,3,3,1,,7,3.11,1.25,-1.25,39.5,,,,,,brayan rocchio,shawn dubin
CU,2024-09-28,80.9,-2.12,5.9,"Dubin, Shawn",677587,681869,,ball,,,,,13,Ball,R,L,R,CLE,HOU,B,,,1,2,2024,1.0,-1.29,-0.2141965184683042,1.2434773440860996,,,,2,9,Bot,,,,,,,2.363098764606001,-117.7548195701786,-1.1749124318034452,8.644560889839862,25.756447366253006,-44.01485722760562,3.12,1.42,,,,80.6,2766,6.4,746578,605170,572138,643289,666197,665161,518792,676694,663656,54.08,,,,,,,,78,4,Curveball,3,4,3,4,4,3,3,4,Standard,Standard,34,0.0,0.039,,,,-0.039,,-1,-1,0.047,0.047,28,23,29,23,1,3,3,1,,7,4.81,-1.0,1.0,41.9,,,,,,brayan rocchio,shawn dubin
CU,2024-09-28,82.2,-2.05,5.85,"Dubin, Shawn",677587,681869,,ball,,,,,14,Ball,R,L,R,CLE,HOU,B,,,0,2,2024,0.81,-1.18,1.685073337076914,-0.2808815246528353,,,,2,9,Bot,,,,,,,6.926028040073178,-119.36126240522084,-4.968744966517695,6.140007868551633,26.08236232293728,-42.445046571457205,3.1,1.43,,,,82.1,2770,6.6,746578,605170,572138,643289,666197,665161,518792,676694,663656,53.88,,,,,,,,78,3,Curveball,3,4,3,4,4,3,3,4,Standard,Standard,25,0.0,0.023,,,,-0.023,,-1,-1,0.047,0.047,28,23,29,23,1,3,3,1,,7,4.6,-0.81,0.81,42.7,,,,,,brayan rocchio,shawn dubin
CU,2024-09-28,82.4,-2.03,5.85,"Dubin, Shawn",677587,681869,,swinging_strike,,,,,14,Swinging Strike,R,L,R,CLE,HOU,S,,,0,1,2024,0.84,-1.41,0.4438736675173438,0.5536813185914742,,,,2,9,Bot,,,,,,,3.984620177746498,-119.85960596550566,-2.65458716787374,7.07551144059677,27.09986651326909,-45.26449185022327,3.14,1.44,,,,82.0,2791,6.4,746578,605170,572138,643289,666197,665161,518792,676694,663656,54.07,,,,,,,,78,2,Curveball,3,4,3,4,4,3,3,4,Standard,Standard,27,0.0,-0.058,67.8,8.4,,0.058,,-1,-1,0.047,0.047,28,23,29,23,1,3,3,1,,7,4.82,-0.84,0.84,42.8,21.404478181879306,-29.20296180943156,38.7355604056401,27.361449554602306,47.06010373235403,brayan rocchio,shawn dubin
CU,2024-09-28,81.0,-2.06,5.84,"Dubin, Shawn",677587,681869,,swinging_strike,,,,,14,Swinging Strike,R,L,R,CLE,HOU,S,,,0,0,2024,0.97,-1.37,0.1833345747911572,0.9608636277739366,,,,2,9,Bot,,,,,,,3.1843405075405733,-117.89600203543677,-1.5326272920717152,8.228114604712367,25.582436952398133,-44.77316108370236,3.14,1.44,,,,81.0,2785,6.6,746578,605170,572138,643289,666197,665161,518792,676694,663656,53.92,,,,,,,,78,1,Curveball,3,4,3,4,4,3,3,4,Standard,Standard,32,0.0,-0.041,71.5,8.3,,0.041,,-1,-1,0.047,0.047,28,23,29,23,1,3,3,1,,7,4.89,-0.97,0.97,47.8,25.75868638385973,-34.41469724600224,35.11126923104908,30.749302348583164,48.80468582769864,brayan rocchio,shawn dubin
FF,2024-09-28,96.0,-2.03,5.81,"Dubin, Shawn",678877,681869,strikeout,called_strike,,,,,7,Jhonkensy Noel called out on strikes.,R,R,R,CLE,HOU,S,2,,0,2,2024,-0.85,1.24,-0.4817444197971645,2.1531868002262717,,,,1,9,Bot,,,,,,,6.012345708627514,-139.60152631161722,-6.913271498155901,-12.399531629282864,29.92734345508192,-14.598794496436794,3.54,1.73,,,,96.4,2323,6.4,746578,605170,572138,643289,666197,665161,518792,676694,663656,54.06,,0.0,0.0,1,0,0,,77,3,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,219,-0.044,-0.162,,,,0.162,,-1,-1,0.091,0.091,28,22,29,23,1,3,3,1,,7,1.23,0.85,0.85,40.1,,,,,,jhonkensy noel,shawn dubin
FF,2024-09-28,95.1,-1.93,5.83,"Dubin, Shawn",678877,681869,,called_strike,,,,,12,Called Strike,R,R,R,CLE,HOU,S,,,0,1,2024,-0.55,1.44,0.9469891606426416,3.115116422761155,,,,1,9,Bot,,,,,,,8.834539388857507,-138.23822445772444,-4.7342308476014665,-9.022276877579312,29.633496306452358,-12.768195225724428,3.49,1.64,,,,95.7,2378,6.6,746578,605170,572138,643289,666197,665161,518792,676694,663656,53.89,,,,,,,,77,2,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,218,-0.014,-0.057,,,,0.057,,-1,-1,0.105,0.105,28,22,29,23,1,3,3,1,,7,1.08,0.55,0.55,41.7,,,,,,jhonkensy noel,shawn dubin
FF,2024-09-28,95.1,-1.83,5.8,"Dubin, Shawn",678877,681869,,called_strike,,,,,12,Called Strike,R,R,R,CLE,HOU,S,,,0,0,2024,-0.49,1.34,0.8785219639763812,2.789013815221653,,,,1,9,Bot,,,,,,,8.213825228044698,-138.27310453418974,-5.300747325705387,-8.03103281208685,28.66813607386279,-13.99027329369468,3.52,1.69,,,,95.7,2337,6.5,746578,605170,572138,643289,666197,665161,518792,676694,663656,53.99,,,,,,,,77,1,4-Seam Fastball,3,4,3,4,4,3,3,4,Standard,Standard,216,-0.01,-0.037,,,,0.037,,-1,-1,0.115,0.115,28,22,29,23,1,3,3,1,,7,1.17,0.49,0.49,37.9,,,,,,jhonkensy noel,shawn dubin
FF,2024-09-28,93.6,-2.04,5.78,"Dubin, Shawn",666310,681869,field_out,hit_into_play,,,,,11,Bo Naylor flies out to left fielder Jason Heyward.,R,L,R,CLE,HOU,X,7,fly_ball,3,2,2024,-0.8,1.16,-0.87905927492652,3.001247579088319,,,,0,9,Bot,56.67,88.27,,,,,4.792398816306889,-136.3819935443776,-4.072247129175744,-11.0691532199496,27.34458617982917,-16.917397021788968,3.27,1.58,323,91.6,41,94.5,2233,6.5,746578,605170,572138,643289,666197,665161,518792,676694,663656,53.97,0.011,0.013,0.0,1,0,0,3,76,6,4-Seam Fastball,3,4,3,4,4,3,3,4,Strategic,Standard,215,-0.109,-0.333,70.0,7.0,0.023,0.333,91.6,-1,-1,0.224,0.224,28,24,29,24,1,3,3,1,,7,1.41,0.8,-0.8,42.7,4.462136810086236,10.163647575363392,22.569351475895736,48.12098751844904,23.43440316624461,bo naylor,shawn dubin
FF,2024-09-28,94.3,-2.17,5.81,"Dubin, Shawn",666310,681869,,foul,,,,,7,Foul,R,L,R,CLE,HOU,S,,,3,1,2024,-0.88,1.43,-0.5853196345222873,2.062730987002342,,,,0,9,Bot,,,,,,,6.126707769091504,-137.14702394576858,-7.260495926851175,-12.49013856816264,29.843353026548627,-12.707795036606814,3.27,1.58,,,,94.9,2382,6.6,746578,605170,572138,643289,666197,665161,518792,676694,663656,53.85,,,,,,,,76,5,4-Seam Fastball,3,4,3,4,4,3,3,4,Strategic,Standard,220,-0.034,-0.085,73.0,8.0,,0.085,,-1,-1,0.258,0.258,28,24,29,24,1,3,3,1,,7,1.13,0.88,-0.88,43.1,18.47168681733124,-5.513828981664778,33.5058643626664,44.8704308778633,35.75016497101313,bo naylor,shawn dubin
